total_cars,new_cars,new_cars_share,itsg5_shares,cv2x_shares,new_itsg5,new_cv2x,removed_cars,scrapped_itsg5,scrapped_cv2x,total_amount_itsg5,total_amount_cv2x,cits_penetration,itsg5_penetration,cv2x_penetration
247.09914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.54692452,26.13286422,0.14285714285714285,0.7395839143271165,0.26041608567288355,2.7610637160580924,0.9722026010847646,21.6850797,0.08283191148174285,0.02916607803254297,2.6782318045763502,0.9430365230522216,0.014395995238417841,0.010647046509063595,0.003748948729354243
256.07476916136,26.603255775959987,0.14285714285714285,0.4821392339537012,0.5178607660462988,4.643116200160812,2.957814021542042,22.0754111346,0.14440783579019642,0.09053524260313184,7.176940168946966,3.8103153019911318,0.04290643512799465,0.02802673684897309,0.01487969827902156
260.6841150062645,27.082114379927315,0.14285714285714285,0.9701193683863448,0.029880631613655062,8.47996139130969,3.1266590572305866,22.4727685350228,0.2712038727624871,0.10216747603405636,15.385697687494169,6.834806883187662,0.08523919675791464,0.05902046500656333,0.026218731751351303
265.3764290763773,27.569592438765998,0.14285714285714285,0.9923795564556072,0.007620443544392841,12.541100684359614,3.212952137792384,22.87727836865321,0.4175384573040856,0.11512450025153233,27.5092599145497,9.932634520728511,0.14108975151105888,0.10366127847259686,0.03742847303846202
270.1532047997521,28.06584510266376,0.14285714285714285,0.7008041787763303,0.2991958212236697,15.576649286511786,4.470382929676613,23.289069379288968,0.5516166048510773,0.16764481961924188,42.534292596210406,14.235372630785886,0.21013878132253194,0.15744507872019678,0.052693702602335184
275.0159624861476,28.5710303145117,0.14285714285714285,0.1409184161521102,0.8590815838478898,16.432198165062555,8.05725639023319,23.708272628116173,0.643412246167911,0.29752711689378153,58.323078515105045,21.99510190412529,0.2920491585039393,0.21207161209067185,0.07997754641326746
279.96624981089826,29.08530886017293,0.14285714285714285,0.16829762820579475,0.8317023717942053,17.42726180300513,11.658047057167794,24.13502153542227,0.7650915374766202,0.442029976984582,74.98524878063354,33.2111189843085,0.3864621819166513,0.2678367440049718,0.11862543791167962
285.00564230749444,29.60884441965605,0.14285714285714285,0.9095489099593064,0.09045109004069374,18.459876388667947,11.1489680309881,24.569451923059866,0.9194207461211,0.482962589231349,92.52570442318041,43.87712442606525,0.4785969419583622,0.3246451672818246,0.1539517746765376
290.1357438690293,30.141803619209853,0.14285714285714285,0.4501496269948195,0.5498503730051805,18.6544078135482,11.487395805661645,25.011702057674945,1.087242135550368,0.5679713562623907,110.09287010117822,54.796548875464495,0.5683181836812073,0.3794529713335681,0.18886521234763928
295.3581872586718,30.684356084355624,0.14285714285714285,0.6429458740019985,0.35705412599800146,17.556028868041754,13.128327216313869,25.46191269471309,1.2620789253394473,0.7155042167500172,126.38682004388052,67.20937187502834,0.6554624190910245,0.4279103322542814,0.22755208683674316
